dose_midpoint_e_per_A2,true_membrane_displacement_nm,measured_membrane_displacement_nm,true_particle_relative_displacement_nm,measured_particle_relative_displacement_nm
25.0,0.0,0.0,0.0,0.0
75.0,0.23963165283203125,0.9106934826115491,-0.1765063344500959,1.7813322463711643
125.0,0.479248046875,0.7753031873188547,-0.3527562730014324,-0.12829716891999965
175.0,0.7188873291015625,0.26681061513147597,-0.5295368931256235,0.13330896768157174
225.0,0.9585113525390625,-0.02184090946862227,-0.7067643241025507,0.2876658907176477
275.0,1.1981277465820312,0.3162604569894256,-0.8838174061384052,0.3837797471193056
325.0,1.4377517700195312,-0.24063143279356325,-1.060623242519796,2.6043981808635692
375.0,1.6773757934570312,0.38355548868783274,-1.237165158148855,1.6330854625188351
425.0,1.9169998168945312,0.7154863182731361,-1.4133500414900482,0.06481890687216207
475.0,2.1566238403320312,0.5306521991201549,-1.589130433741957,-0.6091879459272747
525.0,2.3962478637695312,0.5816462579450672,-1.7656842381693423,1.6794721295169524
575.0,2.6358718872070312,1.1173385044411077,-1.9432092839851975,-2.4938098954479955
625.0,2.8754959106445312,1.0329795733868252,-2.120458519551903,1.5885741986815134
675.0,3.1151199340820312,0.9210889666047706,-2.2973148501478136,-4.379776812491812
725.0,3.3547439575195312,1.6150102715083534,-2.473844168242067,-4.508122543630208
775.0,3.5943679809570312,1.8433467897776836,-2.64999907836318,-4.24410389452494
825.0,3.8339920043945312,2.088613676186526,-2.825877371709794,-4.547524039379908
875.0,4.073616027832031,1.880716056845145,-3.0025928551331162,-3.7378228911081663
925.0,4.313240051269531,1.5035351107221828,-3.1802781724836677,-3.6144891298612976
975.0,4.552864074707031,0.7595675825792085,-3.3575988663360476,-3.04341786249681
