track_id,frame,ann_idx,x_px,y_px,x_nm,y_nm,area_nm2,annotation_type,displacement_nm,cumulative_displacement_nm
3,5,1,157.0,245.0,78.5,122.5,9.62112750161874,circle,0.5,2.914213562373095
3,6,2,157.0,243.0,78.5,121.5,9.62112750161874,circle,1.0,3.914213562373095
3,7,3,158.0,244.0,79.0,122.0,9.62112750161874,circle,0.7071067811865476,4.621320343559643
3,8,2,158.0,242.0,79.0,121.0,9.62112750161874,circle,1.0,5.621320343559643
3,9,3,159.0,242.0,79.5,121.0,9.62112750161874,circle,0.5,6.121320343559643
3,10,3,160.0,243.0,80.0,121.5,9.62112750161874,circle,0.7071067811865476,6.828427124746191
3,11,4,160.0,243.0,80.0,121.5,9.62112750161874,circle,0.0,6.828427124746191
3,12,3,161.0,243.0,80.5,121.5,9.62112750161874,circle,0.5,7.328427124746191
3,13,4,162.0,244.0,81.0,122.0,9.62112750161874,circle,0.7071067811865476,8.035533905932738
3,14,3,161.0,244.0,80.5,122.0,9.62112750161874,circle,0.5,8.535533905932738
3,15,4,162.0,244.0,81.0,122.0,9.62112750161874,circle,0.5,9.035533905932738
3,16,4,164.0,245.0,82.0,122.5,9.62112750161874,circle,1.118033988749895,10.153567894682633
3,17,3,165.0,246.0,82.5,123.0,9.62112750161874,circle,0.7071067811865476,10.86067467586918
3,18,2,164.0,247.0,82.0,123.5,9.62112750161874,circle,0.7071067811865476,11.567781457055728
3,19,2,166.0,247.0,83.0,123.5,9.62112750161874,circle,1.0,12.567781457055728
4,0,4,463.0,299.0,231.5,149.5,9.62112750161874,circle,0.0,0.0
4,1,4,463.0,298.0,231.5,149.0,9.62112750161874,circle,0.5,0.5
4,2,4,464.0,298.0,232.0,149.0,9.62112750161874,circle,0.5,1.0
4,3,4,465.0,297.0,232.5,148.5,9.62112750161874,circle,0.7071067811865476,1.7071067811865475
4,4,5,465.0,297.0,232.5,148.5,9.62112750161874,circle,0.0,1.7071067811865475
4,5,5,466.0,296.0,233.0,148.0,9.62112750161874,circle,0.7071067811865476,2.414213562373095
4,6,4,465.0,296.0,232.5,148.0,9.62112750161874,circle,0.5,2.914213562373095
4,7,4,466.0,294.0,233.0,147.0,9.62112750161874,circle,1.118033988749895,4.03224755112299
4,8,5,469.0,294.0,234.5,147.0,9.62112750161874,circle,1.5,5.53224755112299
4,9,5,468.0,293.0,234.0,146.5,9.62112750161874,circle,0.7071067811865476,6.239354332309538
4,10,4,469.0,292.0,234.5,146.0,9.62112750161874,circle,0.7071067811865476,6.946461113496086
4,11,5,469.0,292.0,234.5,146.0,9.62112750161874,circle,0.0,6.946461113496086
4,12,4,470.0,292.0,235.0,146.0,9.62112750161874,circle,0.5,7.446461113496086
4,13,3,470.0,291.0,235.0,145.5,9.62112750161874,circle,0.5,7.946461113496086
4,14,4,468.0,290.0,234.0,145.0,9.62112750161874,circle,1.118033988749895,9.064495102245981
