run,model,data,epochs,batch,imgsz,seed,deterministic,optimizer,weights_sha256,weights_bytes
rep_simulation_2_1,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_2_1/data.yaml,120,4,640,1,True,auto,c2dd52e536a81291cc72210f9f12649797dab320a13efebe9e99112095f77a3b,20498269
rep_simulation_2_2,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_2_2/data.yaml,120,4,640,2,True,auto,a0b0916228e1b592a8f93451e0d72d70252b504da1f439c5a60df2c38595754e,20497949
rep_simulation_2_3,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_2_3/data.yaml,120,4,640,3,True,auto,0fd6669394305904619329dc31a5ba7b5c308160ae43b84f29e9a8de3f82f6e9,20511709
rep_simulation_4_0,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_4_0/data.yaml,120,4,640,0,True,auto,7bcea43b6d0ddc9840dfa5d0dd18c5ebb3222343a9953f80bb0a6bfc41679c13,20511709
rep_simulation_4_1,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_4_1/data.yaml,120,4,640,1,True,auto,b3b7f693f2336f3f2daba32d9a08acce38fe041ce6b094c2d478aa3e20996597,20511709
rep_simulation_4_2,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_4_2/data.yaml,120,4,640,2,True,auto,52015436257814e1b57091660b89c6ebb712c4207ca25d1d7e77aaea11e9ecbe,20511709
rep_simulation_4_3,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_4_3/data.yaml,120,4,640,3,True,auto,c7cccecc1ac662aa9852174ba780c98b52032e8ffaac26780dc0e1b1a13da08c,20511709
rep_simulation_8_0,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,0,True,auto,019e600ae532b449548a4d133c5f4e9a22e33b7800f9899dacd549e9edd3e9c1,20511709
rep_simulation_8_1,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_1/data.yaml,120,4,640,1,True,auto,d619984e690901436b4f84fb17aca6f0b3e763e4b60ca238be0ec47cc1d79377,20511709
rep_simulation_8_2,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_2/data.yaml,120,4,640,2,True,auto,87cbacdb572b1bde1c0176f0ab099f577265d06987a1c84cbfa9183070c1d2ed,20511709
rep_simulation_8_3,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_3/data.yaml,120,4,640,3,True,auto,e5cbf1069e9e4ccce0dc15c9b49ee73440f1e245ccff7145cc9c538ade5f1b2c,20511709
rep_simulation_8_4,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,4,True,auto,d122d3b2cc314a5a0c15fd05b338daf043bb1db8421a08d67459f74791762643,20511709
rep_simulation_8_5,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,5,True,auto,af663bfc4950b88ba1cd6773bad9aff9caf965eb44bcd23e1fe8c693af977dc1,20511709
rep_simulation_8_6,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,6,True,auto,1556ee9e9ee94401d6bf1aa1c629140faed28e507bb546239f9ba451f6220456,20511709
rep_simulation_8_7,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,7,True,auto,0e6568e673b7e9d0f725627acd2ae14fbacca0344caafb2ce380cd62a22c538c,20511709
rep_simulation_8_8,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,8,True,auto,4b8459370daf81a5cfd88be959d7b78441189705b5c4bee77033e6f76c0ee335,20511709
rep_simulation_8_9,external/doi/models/spores_sem/best.pt,work/burden_replicates/ds_8_0/data.yaml,120,4,640,9,True,auto,3ccc2c1dd69d4f6a1b69dab0d3a7a70267d8036b7d0799455a4e06043b6521e5,20511709
spores_sem,yolo11s-seg.pt,external/doi/derived/spores_sem/data.yaml,100,16,640,0,True,auto,eb367758550ad4df1819bb3df26ca105201e1b69616c8b06fb8d5b9c35ab4c3b,20522781
