Dataset,Epochs,Box mAP@50,Box mAP@50-95,Mask mAP@50,Mask mAP@50-95,Mask P,Mask R
"Transmission, PLGA",100,0.984,0.889,0.935,0.577,0.944,0.932
"Scanning, spores",95,0.974,0.937,0.99,0.872,0.972,0.988
