f1,fn,fp,inference_seconds,n_predicted,n_reference,n_reference_confident,n_tiles,pixel_size_nm,precision,recall,recall_confident,seed,stem,tp
0.32727272727272727,34,3,2.5362470539985225,12,43,30,6,13.887,0.75,0.20930232558139536,0.26666666666666666,0,27E1_002,9
0.48484848484848486,15,2,0.12376616103574634,10,23,13,6,19.168,0.8,0.34782608695652173,0.5384615384615384,0,27E1_004,8
0.1621621621621622,31,0,0.08555744402110577,3,34,22,6,11.517,1.0,0.08823529411764706,0.13636363636363635,0,27E1_013,3
0.4897959183673469,30,20,0.9436762749683112,44,54,25,6,12.306,0.5454545454545454,0.4444444444444444,0.88,0,28A4_004,24
0.7307692307692307,12,2,0.47485210408922285,21,31,21,6,11.587,0.9047619047619048,0.6129032258064516,0.9047619047619048,0,4AC2_003,19
0.6611570247933884,19,22,1.5613068289821967,62,59,51,6,16.838,0.6451612903225806,0.6779661016949152,0.7843137254901961,0,4AJ1_058,40
0.6813186813186812,17,12,0.8178493489976972,43,48,39,6,12.434,0.7209302325581395,0.6458333333333334,0.7948717948717948,0,RO-NN-1_007,31
0.775,9,9,1.4470790260238573,40,40,32,6,7.317,0.775,0.775,0.9375,0,TU-B-10_011,31
0.5294117647058824,25,7,0.3666961130220443,25,43,30,6,13.887,0.72,0.4186046511627907,0.5333333333333333,1,27E1_002,18
0.5294117647058824,14,2,0.12109545397106558,11,23,13,6,19.168,0.8181818181818182,0.391304347826087,0.6153846153846154,1,27E1_004,9
0.45454545454545453,24,0,0.163960351026617,10,34,22,6,11.517,1.0,0.29411764705882354,0.36363636363636365,1,27E1_013,10
0.553191489361702,28,14,0.8949251760495827,40,54,25,6,12.306,0.65,0.48148148148148145,0.92,1,28A4_004,26
0.6037735849056604,15,6,0.5131133429240435,22,31,21,6,11.587,0.7272727272727273,0.5161290322580645,0.7619047619047619,1,4AC2_003,16
0.743801652892562,14,17,1.6181193300290033,62,59,51,6,16.838,0.7258064516129032,0.7627118644067796,0.8627450980392157,1,4AJ1_058,45
0.7272727272727272,16,8,0.8320433560293168,40,48,39,6,12.434,0.8,0.6666666666666666,0.8205128205128205,1,RO-NN-1_007,32
0.7654320987654322,9,10,1.5756581430323422,41,40,32,6,7.317,0.7560975609756098,0.775,0.96875,1,TU-B-10_011,31
0.5915492957746479,22,7,0.49456915294285864,28,43,30,6,13.887,0.75,0.4883720930232558,0.6333333333333333,2,27E1_002,21
0.4705882352941176,15,3,0.1344188170041889,11,23,13,6,19.168,0.7272727272727273,0.34782608695652173,0.5384615384615384,2,27E1_004,8
0.576923076923077,19,3,0.25777543999720365,18,34,22,6,11.517,0.8333333333333334,0.4411764705882353,0.5909090909090909,2,27E1_013,15
0.5154639175257731,29,18,0.8893969060154632,43,54,25,6,12.306,0.5813953488372093,0.46296296296296297,0.88,2,28A4_004,25
0.5964912280701755,14,9,0.6711834939196706,26,31,21,6,11.587,0.6538461538461539,0.5483870967741935,0.8095238095238095,2,4AC2_003,17
0.7377049180327869,14,18,1.8202140759676695,63,59,51,6,16.838,0.7142857142857143,0.7627118644067796,0.8823529411764706,2,4AJ1_058,45
0.7333333333333334,15,9,0.9791180749889463,42,48,39,6,12.434,0.7857142857142857,0.6875,0.8461538461538461,2,RO-NN-1_007,33
0.6428571428571429,13,17,1.6149148269323632,44,40,32,6,7.317,0.6136363636363636,0.675,0.8125,2,TU-B-10_011,27
