f1,fn,fp,inference_seconds,n_predicted,n_reference,n_reference_confident,n_tiles,pixel_size_nm,precision,recall,recall_confident,seed,stem,tp
0.5454545454545454,25,5,2.7506879679858685,23,43,30,6,13.887,0.782608695652174,0.4186046511627907,0.5666666666666667,0,27E1_002,18
0.5,15,1,0.1271208809921518,9,23,13,6,19.168,0.8888888888888888,0.34782608695652173,0.6153846153846154,0,27E1_004,8
0.5098039215686274,21,4,0.2596099720103666,17,34,22,6,11.517,0.7647058823529411,0.38235294117647056,0.5454545454545454,0,27E1_013,13
0.5154639175257731,29,18,0.9832828909857199,43,54,25,6,12.306,0.5813953488372093,0.46296296296296297,0.88,0,28A4_004,25
0.7037037037037037,12,4,0.6532238990766928,23,31,21,6,11.587,0.8260869565217391,0.6129032258064516,0.8571428571428571,0,4AC2_003,19
0.6890756302521008,18,19,1.575632567051798,60,59,51,6,16.838,0.6833333333333333,0.6949152542372882,0.7843137254901961,0,4AJ1_058,41
0.7816091954022988,14,5,0.8698712399927899,39,48,39,6,12.434,0.8717948717948718,0.7083333333333334,0.8717948717948718,0,RO-NN-1_007,34
0.7567567567567567,12,6,1.2246208500582725,34,40,32,6,7.317,0.8235294117647058,0.7,0.875,0,TU-B-10_011,28
0.4126984126984127,30,7,0.3345939989667386,20,43,30,6,13.887,0.65,0.3023255813953488,0.4,1,27E1_002,13
0.4666666666666667,16,0,0.10856742493342608,7,23,13,6,19.168,1.0,0.30434782608695654,0.5384615384615384,1,27E1_004,7
0.3555555555555555,26,3,0.2384732950013131,11,34,22,6,11.517,0.7272727272727273,0.23529411764705882,0.3181818181818182,1,27E1_013,8
0.49462365591397855,31,16,0.9609303630422801,39,54,25,6,12.306,0.5897435897435898,0.42592592592592593,0.88,1,28A4_004,23
0.6428571428571428,13,7,0.7216997529612854,25,31,21,6,11.587,0.72,0.5806451612903226,0.8571428571428571,1,4AC2_003,18
0.736842105263158,17,13,1.3162967519601807,55,59,51,6,16.838,0.7636363636363637,0.711864406779661,0.803921568627451,1,4AJ1_058,42
0.7294117647058824,17,6,0.813537480076775,37,48,39,6,12.434,0.8378378378378378,0.6458333333333334,0.7948717948717948,1,RO-NN-1_007,31
0.7837837837837837,11,5,1.2287655839463696,34,40,32,6,7.317,0.8529411764705882,0.725,0.90625,1,TU-B-10_011,29
0.45161290322580644,29,5,0.2981416090624407,19,43,30,6,13.887,0.7368421052631579,0.32558139534883723,0.43333333333333335,2,27E1_002,14
0.5454545454545454,14,1,0.11887641693465412,10,23,13,6,19.168,0.9,0.391304347826087,0.6153846153846154,2,27E1_004,9
0.39130434782608703,25,3,0.18204760400112718,12,34,22,6,11.517,0.75,0.2647058823529412,0.3181818181818182,2,27E1_013,9
0.5274725274725275,30,13,0.8373479510191828,37,54,25,6,12.306,0.6486486486486487,0.4444444444444444,0.88,2,28A4_004,24
0.6909090909090909,12,5,0.658425210043788,24,31,21,6,11.587,0.7916666666666666,0.6129032258064516,0.9047619047619048,2,4AC2_003,19
0.6666666666666667,18,23,1.8064399239374325,64,59,51,6,16.838,0.640625,0.6949152542372882,0.7843137254901961,2,4AJ1_058,41
0.7848101265822784,17,0,0.6328126899898052,31,48,39,6,12.434,1.0,0.6458333333333334,0.7948717948717948,2,RO-NN-1_007,31
0.7368421052631577,12,8,1.219130538054742,36,40,32,6,7.317,0.7777777777777778,0.7,0.875,2,TU-B-10_011,28
