f1,fn,fp,inference_seconds,n_predicted,n_reference,n_reference_confident,n_tiles,pixel_size_nm,precision,recall,recall_confident,seed,stem,tp
0.5633802816901409,23,8,2.7943476520013064,28,43,30,6,13.887,0.7142857142857143,0.46511627906976744,0.6,0,27E1_002,20
0.5142857142857143,14,3,0.13413526699878275,12,23,13,6,19.168,0.75,0.391304347826087,0.6153846153846154,0,27E1_004,9
0.40816326530612246,24,5,0.218757152906619,15,34,22,6,11.517,0.6666666666666666,0.29411764705882354,0.36363636363636365,0,27E1_013,10
0.5416666666666666,28,16,0.925585741060786,42,54,25,6,12.306,0.6190476190476191,0.48148148148148145,0.92,0,28A4_004,26
0.6666666666666667,13,5,0.5646675169700757,23,31,21,6,11.587,0.782608695652174,0.5806451612903226,0.8571428571428571,0,4AC2_003,18
0.746031746031746,12,20,1.8333276100456715,67,59,51,6,16.838,0.7014925373134329,0.7966101694915254,0.9215686274509803,0,4AJ1_058,47
0.6956521739130435,16,12,1.036524977069348,44,48,39,6,12.434,0.7272727272727273,0.6666666666666666,0.8205128205128205,0,RO-NN-1_007,32
0.7126436781609196,9,16,1.5693750070640817,47,40,32,6,7.317,0.6595744680851063,0.775,0.96875,0,TU-B-10_011,31
0.5079365079365079,27,4,0.3159319330006838,20,43,30,6,13.887,0.8,0.37209302325581395,0.5,1,27E1_002,16
0.5454545454545454,14,1,0.13091265293769538,10,23,13,6,19.168,0.9,0.391304347826087,0.6153846153846154,1,27E1_004,9
0.45454545454545453,24,0,0.1599005750613287,10,34,22,6,11.517,1.0,0.29411764705882354,0.36363636363636365,1,27E1_013,10
0.49484536082474234,30,19,0.9442903909366578,43,54,25,6,12.306,0.5581395348837209,0.4444444444444444,0.88,1,28A4_004,24
0.6666666666666667,13,5,0.6086344210198149,23,31,21,6,11.587,0.782608695652174,0.5806451612903226,0.8095238095238095,1,4AC2_003,18
0.6984126984126985,15,23,1.9220493049360812,67,59,51,6,16.838,0.6567164179104478,0.7457627118644068,0.8627450980392157,1,4AJ1_058,44
0.7640449438202247,14,7,0.9079882371006534,41,48,39,6,12.434,0.8292682926829268,0.7083333333333334,0.8717948717948718,1,RO-NN-1_007,34
0.775,9,9,1.5027277580229566,40,40,32,6,7.317,0.775,0.775,0.9375,1,TU-B-10_011,31
0.5294117647058824,25,7,0.4308208420407027,25,43,30,6,13.887,0.72,0.4186046511627907,0.5666666666666667,2,27E1_002,18
0.6060606060606061,13,0,0.13603914598934352,10,23,13,6,19.168,1.0,0.43478260869565216,0.6923076923076923,2,27E1_004,10
0.45454545454545453,24,0,0.17338811000809073,10,34,22,6,11.517,1.0,0.29411764705882354,0.4090909090909091,2,27E1_013,10
0.5473684210526316,28,15,0.9576434750342742,41,54,25,6,12.306,0.6341463414634146,0.48148148148148145,0.92,2,28A4_004,26
0.7037037037037037,12,4,0.7176654069917277,23,31,21,6,11.587,0.8260869565217391,0.6129032258064516,0.9047619047619048,2,4AC2_003,19
0.7258064516129032,14,20,1.8422499019652605,65,59,51,6,16.838,0.6923076923076923,0.7627118644067796,0.8823529411764706,2,4AJ1_058,45
0.717391304347826,15,11,0.955289438017644,44,48,39,6,12.434,0.75,0.6875,0.8461538461538461,2,RO-NN-1_007,33
0.7317073170731706,10,12,1.667647449998185,42,40,32,6,7.317,0.7142857142857143,0.75,0.90625,2,TU-B-10_011,30
