stem,isolate,split,pixel_size_nm,shape,n_reference,confident_frac,ecd_nm_median,ecd_nm_p10,ecd_nm_p90,ecd_px_median,circularity_median,density_per_um2,intensity_mean,intensity_std,intensity_p1,intensity_p99,frac_below_dn32,frac_above_dn223
10A5_009,10A5,train,19.285,692x1024,106,0.6981132075471698,1009.9368999999999,915.64585,2024.2530000000002,52.36903811252268,0.8665,0.40221709755656904,31.764877319335938,53.204959869384766,0.0,237.0,0.6931335802023122,0.014205315209537573
10A5_013,10A5,train,9.609,692x1024,42,0.5952380952380952,900.3719,601.20456,1399.2336799999998,93.7008949942762,0.7476499999999999,0.6419287880020075,39.192630767822266,61.567691802978516,0.0,245.0,0.6585404059790463,0.02210531069364162
168WT008,168WT,train,6.425,692x1024,21,0.5714285714285714,856.6684,694.4189,1016.8229,133.33360311284048,0.5873,0.7179050025655327,50.91839599609375,71.95521545410156,0.0,250.0,0.6049127303106936,0.03508992277817919
27E1_002,27E1,test,13.887,692x1024,43,0.6976744186046512,893.5734,741.45012,2428.291100000001,64.34603586087708,0.7841,0.31466289462606173,25.0200252532959,50.186004638671875,0.0,233.0,0.7879970307984104,0.013533575686416185
27E1_004,27E1,test,19.168,692x1024,23,0.5652173913043478,1028.9002,767.8575599999999,4730.29096,53.67801544240401,0.7837,0.08834219453632024,18.178852081298828,39.02719497680664,0.0,214.0,0.8456509099530347,0.008272556900289017
27E1_013,27E1,test,11.517,692x1024,34,0.6470588235294118,870.7390499999999,720.83526,1762.868,75.60467569679604,0.7244999999999999,0.36173799930932915,30.849315643310547,51.71184158325195,0.0,236.0,0.7037191225614162,0.01305517295881503
28A4_004,28A4,test,12.306,692x1024,54,0.46296296296296297,1066.3928999999998,795.6518200000002,1740.7306600000002,86.65633837152608,0.44730000000000003,0.5032153580345985,32.07950210571289,53.31494140625,0.0,232.0,0.695528416275289,0.012723536849710983
28A4_009,28A4,train,8.915,692x1024,33,0.5454545454545454,970.5762,702.2592599999999,1789.6588000000004,108.87001682557488,0.6964,0.5859562537962466,33.779083251953125,55.259361267089844,0.0,233.0,0.6903746500180635,0.013247098536849711
3A28_004,3A28,train,9.452,692x1024,42,0.8809523809523809,954.1659,798.37176,1065.4371899999999,100.94857173085062,0.80335,0.6634310802553748,41.9177131652832,67.84622955322266,0.0,250.0,0.667079682984104,0.038960892341040464
3A28_012,3A28,val,5.92,692x1024,31,0.3870967741935484,902.6606,404.8771,1111.2954,152.47645270270272,0.4639,1.2482806237451811,36.3229866027832,58.060482025146484,0.0,242.0,0.6661765037933526,0.018917370393786128
3A28_021,3A28,train,15.569,692x1024,84,0.8809523809523809,1037.2608500000001,941.80237,1139.67032,66.62347292697027,0.83675,0.48904834966493693,37.766746520996094,60.03158187866211,0.0,241.0,0.6667579253973989,0.019603222091763007
4AC1_011,4AC1,train,13.402,692x1024,84,0.8809523809523809,892.8878,810.71587,981.04319,66.62347410834204,0.83675,0.6599849128695573,38.38518524169922,60.203086853027344,0.0,236.0,0.6705230536488439,0.015457065119219654
