movie_id,dose_condition,electrons_per_pixel_per_frame,replicate,random_seed,specimen_seed,trajectory_seed,noise_seed,number_of_frames,pixel_size,input_motion_px,alignment_rmse_px,maximum_error_px,sharpness_before,sharpness_after,sharpness_gain_percent,alignment_success,failure_definition,figure_panel,source_file,software_version,git_commit
dose_20_rep2,dose_20,20.0,2,102,6,2,102,24,18.0 A/px,26.0,0.07543789263919709,0.11125310146302414,0.0011850715382024646,0.002438764786347747,105.79051202654854,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_20_rep3,dose_20,20.0,3,103,7,3,103,24,18.0 A/px,26.0,0.07993347825074296,0.1337569803013774,0.0011851390590891242,0.002342464169487357,97.65310674071712,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_20_rep4,dose_20,20.0,4,104,8,4,104,24,18.0 A/px,26.0,0.07046814707247208,0.12770852713949932,0.001278318464756012,0.002544925082474947,99.08380834979862,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_20_rep5,dose_20,20.0,5,105,9,5,105,24,18.0 A/px,26.0,0.0692369479420591,0.1266543097481013,0.0012056682026013732,0.002120897639542818,75.9105560689689,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_4_rep0,dose_4,4.0,0,100,4,0,100,24,18.0 A/px,26.0,0.17946230168974572,0.3491341510630387,0.004473588429391384,0.004903198219835758,9.60324797922505,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_4_rep1,dose_4,4.0,1,101,5,1,101,24,18.0 A/px,26.0,0.16454185877352812,0.3192402409720717,0.004597539082169533,0.004978393204510212,8.283869164217261,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_4_rep2,dose_4,4.0,2,102,6,2,102,24,18.0 A/px,26.0,0.1726605504007343,0.32885772443182226,0.004539576359093189,0.0051611000671982765,13.691227086865009,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_4_rep3,dose_4,4.0,3,103,7,3,103,24,18.0 A/px,26.0,0.16392779829101164,0.33608138305632246,0.0045214309357106686,0.005036141723394394,11.383802937660569,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_4_rep4,dose_4,4.0,4,104,8,4,104,24,18.0 A/px,26.0,0.13434837855312035,0.2844351626378477,0.004623434506356716,0.005299367010593414,14.619705400981985,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
dose_4_rep5,dose_4,4.0,5,105,9,5,105,24,18.0 A/px,26.0,0.22641673406270288,0.4552356662714335,0.004549771547317505,0.004711522255092859,3.555139111780692,True,alignment_success = alignment_rmse_px < 1.0 px,2D,paper/scripts/figures/make_fig5.py,acorn-sim-playground working tree,be8aa3e78275464bbbcfea29b75e97ad81ad28d6
